Animal/Plant,Scientific Name,Author,RANK_NAME,REC_ID,Common Name,LISTING,EFFECTIVE_FROM,Change Type,Type of Change,Relevant Listing
Plant,Agrostophyllum latilobum,J.J. Smith,Species,49745,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum laxum,J.J. Smith,Species,50411,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum longifolium,(Blume) Reichb.f.,Species,50412,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum majus,Hook.f.,Species,40128,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum megalurum,Reichb.f.,Species,43829,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum occidentale,Schltr.,Species,12181,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum tenue,J.J. Smith,Species,50413,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum zeylanicum,Hook.f.,Species,24261,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Diospyros clusiifolia,(Hiern) G.E.Schatz & Lowry,SPECIES,192541,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros conifera,H.Perr.,SPECIES,160552,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros decaryana,H.Perr.,SPECIES,160547,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros dycorypheoides,H.Perrier,SPECIES,192542,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros dycorypheoides var. meridionalis,H.Perrier,VARIETY,192543,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros ebenifera,(Hiern) G.E.Schatz & Lowry,SPECIES,192544,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros enervis,(H.Perrier),SPECIES,192545,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros erinacea,(H.Perrier),SPECIES,192547,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros erythrosperma,H.Perr.,SPECIES,160562,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros filipes,H.Perrier,SPECIES,192548,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros fuscovelutina,Baker,SPECIES,160604,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros geayana,H.Perrier,SPECIES,192549,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros gneissicola,(H.Perrier),SPECIES,192550,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros gracilipes,Hiern,SPECIES,160588,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros greveana,(Pierre) H.Perr.,SPECIES,160564,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros greveana boinensis,H.Perr.,SUBSPECIES,160565,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros haplostylis,Boivin ex Hiern,SPECIES,160581,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros haplostylis var. hildebrandtii,Garcke,VARIETY,160582,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros hazomainty,H.Perr.,SPECIES,160606,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros hemiteles,I. Richardson,SPECIES,14535,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros heterosepala,H.Perrier,SPECIES,192552,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros humbertiana,H.Perr.,SPECIES,160559,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros humbertii,(H.Perrier),SPECIES,192554,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros implexicalyx,H.Perr.,SPECIES,160592,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros ketsensis,H.Perr.,SPECIES,160558,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros laevis,Bojer ex DC.,SPECIES,160579,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros lamiana,(H.Perrier),SPECIES,192555,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros lanceolata,Poir.,SPECIES,192556,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros latispathulata,H.Perrier,SPECIES,192557,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros lenticellata,Bak.,SPECIES,160551,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros leucomelas,Poiret,SPECIES,12222,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros lokohensis,(H.Perrier),SPECIES,192560,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros louveli,H.Perr.,SPECIES,160568,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros madagascariensis,(A.DC.),SPECIES,192561,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros madecassa,H.Perrier,SPECIES,192562,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros magnifolia,(H.Perrier),SPECIES,192563,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros manampetsae,H.Perrier,SPECIES,192564,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros mangabensis,Aug.DC.,SPECIES,192565,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros mangorensis,H.Perr.,SPECIES,160603,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros mapingo,H.Perr.,SPECIES,160595,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros masoalensis,H.Perr.,SPECIES,160569,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros mcphersonii,G.E. Schatz & Lowry,SPECIES,192566,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros meeusiana,(H.Perrier),SPECIES,192567,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros microrhombus,Hiern,SPECIES,192568,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros montigena,(H.Perrier),SPECIES,192569,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros myriophylla,(H.Perrier),SPECIES,192570,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros myrtifolia,H.Perr.,SPECIES,160548,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros myrtilloides,(H.Perrier),SPECIES,192573,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros natalensis,(Harv.) Brenan,SPECIES,63329,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros neraudii,DC.,SPECIES,14800,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros nigricans,Wall. ex A.DC.,SPECIES,192574,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros nodosa,Poiret,SPECIES,14801,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros obducta,(H.Perrier),SPECIES,192575,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros occlusa,H.Perrier,SPECIES,192576,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros olacinoides,(H.Perrier),SPECIES,192577,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros onivensis,H.Perr.,SPECIES,160549,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros parifolia,H.Perr.,SPECIES,160598,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros parvifolia,Hiern,SPECIES,192578,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros perreticulata,H.Perrier,SPECIES,192579,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros perrieri,Jumelle,SPECIES,160570,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros pervillei,Hiern,SPECIES,160572,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros platycalyx,Hiern,SPECIES,160602,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros pruinosa var. pruinosa,0,VARIETY,160608,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros quartzitarium,0,SPECIES,192580,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros quercina,(Baill.),SPECIES,192581,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros revaughanii,I. Richardson,SPECIES,14534,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros rubrolanata,H.Perrier,SPECIES,192582,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros sakalavarum,H.Perr.,SPECIES,160575,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros sclerophylla,H.Perrier,SPECIES,192591,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros seychellarum,(Hiern) Kosterm.,SPECIES,102040,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros sphaerosepala,Baker,SPECIES,192584,,III,22/12/2011,Included in Appendix III,NEW,III
